epoch,train_loss,val_loss,val_dice_macro,val_dice_global,val_iou_macro,val_iou_global,used_batches,gt_empty_batches,dice_zero_batches,best_val_dice_global,early_counter,epoch_time_sec
25,0.7506610847945906,0.7884701719650855,0.902242863482979,0.9122209197653798,0.8237935738657446,0.8386086259064897,24,2,0,0.9200554412593934,1,262.432599067688
26,0.738483781233812,0.774718199784939,0.9196026482816055,0.9275964295974978,0.8526075336255724,0.8649695461656713,24,2,0,0.9275964295974978,0,262.4436104297638
27,0.7302139684175833,0.7781210977297562,0.9274499732197081,0.9362485234201066,0.8659188634883561,0.8801384007759724,24,2,0,0.9362485234201066,0,262.3522791862488
28,0.7172868638976008,0.7883473176222581,0.920982812985712,0.9287136862527035,0.8549107009086252,0.8669145440718996,24,2,0,0.9362485234201066,1,262.45841789245605
29,0.7152113216555017,0.7879587434805356,0.9307746685643835,0.9378126018630683,0.8716854835178346,0.8829069178451789,24,2,0,0.9378126018630683,0,262.4468710422516
30,0.705692341694465,0.8001279693383437,0.9365183265725059,0.94332056593217,0.881655101319052,0.8927216102813038,24,2,0,0.94332056593217,0,262.4352216720581
31,0.7058895212462825,0.7894651591777802,0.9420792290347246,0.9488517231333572,0.8913580781286018,0.9026811383468941,24,2,0,0.9488517231333572,0,262.44644594192505
32,0.7011732731619452,0.7895034093123215,0.930457295609286,0.93847219716946,0.8712126876651071,0.8840768886759679,24,2,0,0.9488517231333572,1,262.45399713516235
33,0.6876418717906007,0.7600649090913626,0.9464730419157131,0.9516203853932677,0.8990986319885138,0.9077059226778644,24,2,0,0.9516203853932677,0,262.24492287635803
34,0.6812156713925875,0.7899817136617807,0.9364753578808657,0.9413880939225461,0.881580625844749,0.8892664899365575,24,2,0,0.9516203853932677,1,262.38366293907166
35,0.6861980977730874,0.750361979007721,0.9547860886491065,0.959008926189248,0.9139957866631745,0.9212460609086761,24,2,0,0.959008926189248,0,262.42452573776245
36,0.6755120794997256,0.7710955693171575,0.9438136919959038,0.9494531478405694,0.8945120132036589,0.9037703990916162,24,2,0,0.959008926189248,1,262.3984694480896
37,0.6723119858493153,0.7904361463510073,0.9434340121303143,0.9477398122007834,0.8941513407445109,0.9006705976237346,24,2,0,0.959008926189248,2,262.3821392059326
38,0.6685342590014139,0.7499718734851251,0.9603497052666765,0.9635914056690085,0.9241733039475574,0.9297408482906426,24,2,0,0.9635914056690085,0,262.3406856060028
